Matrix,Init Time (ms),Best Time (ms),Best col_frac,Best hot_frac
cage,0.004529,0.004529,1,1
rdb450l,0.00453,0.00453,1,1
S20PI_n1,0.004532,0.004532,1,1
biplane-9,0.004534,0.004534,1,1
dwt_492,0.004543,0.004543,1,1
orbitRaising_3,0.004543,0.004543,1,1
poisson2D,0.004543,0.004543,1,1
rail_1357,0.004543,0.004543,1,1
rdb200,0.004569,0.004543,0,0
wang2,0.004544,0.004544,1,1
mhd3200b,0.004546,0.004546,1,1
EX2,0.004547,0.004547,1,1
aug2dc,0.004549,0.004549,1,1
ex29,0.004549,0.004549,1,1
netz4504,0.004551,0.004551,1,1
plskz362,0.004555,0.004555,1,1
bcsstk21,0.004556,0.004556,1,1
nos5,0.004557,0.004557,1,1
dtoc,0.004559,0.004559,1,1
lund_a,0.004769,0.004562,0,0
EX1,0.004566,0.004566,1,1
airfoil1_dual,0.004566,0.004566,1,1
bcspwr04,0.004568,0.004568,1,1
lshp3025,0.00461,0.004568,0,0
rdb3200l,0.004818,0.004569,0,0
can_161,0.00457,0.00457,1,1
rdb2048,0.004572,0.004572,1,1
problem1,0.004578,0.004578,1,1
dwt_512,0.00458,0.00458,1,1
whitaker3_dual,0.00458,0.00458,1,1
delaunay_n10,0.004581,0.004581,1,1
Trefethen_700,0.004582,0.004582,1,1
delaunay_n11,0.004583,0.004583,1,1
tumorAntiAngiogenesis_1,0.009706,0.004586,0,0
dataset18mfeatmorphological_10NN,0.004587,0.004587,1,1
pde2961,0.004664,0.004593,0,0
YaleA_10NN,0.004979,0.004594,0,0
jagmesh6,0.004594,0.004594,1,1
shyy41,0.004597,0.004597,1,1
lund_b,0.004601,0.004601,1,1
Roget,0.004602,0.004602,1,1
fs_541_1,0.00475,0.004602,0,0
wang1,0.004602,0.004602,1,1
steam1,0.00471,0.004605,0,0
fs_541_3,0.004612,0.004612,1,1
hydr1c,0.00462,0.00462,1,1
sherman3,0.00462,0.00462,1,1
mhd4800b,0.004621,0.004621,1,1
spaceShuttleEntry_1,0.007133,0.004621,0,0
qpband,0.004622,0.004622,1,1
Chebyshev1,0.006806,0.004623,0,0
Hamrle2,0.004624,0.004624,1,1
dwg961b,0.004624,0.004624,1,1
rdb1250l,0.004624,0.004624,1,1
saylr4,0.004769,0.004626,0,0
fs_541_2,0.004628,0.004628,1,1
cz148,0.004832,0.004633,0,0
sstmodel,0.004634,0.004634,1,1
crack_dual,0.004636,0.004636,1,1
TS,0.004639,0.004639,1,1
mycielskian7,0.005618,0.004649,0,0
fs_760_1,0.004652,0.004652,1,1
bfwb782,0.004654,0.004654,1,1
mice_10NN,0.004662,0.004662,1,1
GD96_a,0.004664,0.004664,1,1
dwt_198,0.004667,0.004665,0,0
lnsp3937,0.004669,0.004669,1,1
dwt_2680,0.00467,0.00467,1,1
cz628,0.004677,0.004677,1,1
plat1919,0.004678,0.004678,1,1
tuma2,0.00468,0.00468,1,1
ex32,0.004686,0.004686,1,1
Spectro_10NN,0.005128,0.004691,0,0
spaceStation_3,0.005978,0.004695,0,0
rdb968,0.004699,0.004699,1,1
dwt_193,0.004922,0.004701,0,0
breasttissue_10NN,0.004995,0.004702,0,0
fs_760_2,0.004703,0.004703,1,1
orsirr_2,0.004706,0.004706,1,1
airfoil1,0.004734,0.004707,0,0
hydr1,0.004714,0.004714,1,1
steam2,0.004715,0.004715,1,1
TSOPF_RS_b9_c6,0.004727,0.004727,1,1
ww_36_pmec_36,0.004806,0.004736,0,0
lung1,0.004737,0.004737,1,1
can_715,0.007467,0.004741,0,0
rajat05,0.004818,0.004741,0,0
fd15,0.004742,0.004742,1,1
ex15,0.004748,0.004748,1,1
iris_dataset_30NN,0.00578,0.004751,0,0
Glass_10NN,0.004816,0.004752,0,0
umistfacesnorm_10NN,0.005021,0.004754,0,0
str_400,0.004758,0.004758,1,1
bcsstk07,0.004759,0.004759,1,1
cell1,0.004759,0.004759,1,1
barth4,0.004762,0.004762,1,1
can_634,0.004766,0.004766,1,1
thermal,0.004766,0.004766,1,1
USpowerGrid,0.004769,0.004769,1,1
Vehicle_10NN,0.005055,0.004771,0,0
ex1,0.005688,0.004782,0,0
CAG_mat72,0.00499,0.004785,0,0
can_268,0.005233,0.004785,0,0
ex33,0.004787,0.004787,1,1
delaunay_n12,0.005091,0.004788,0,0
fs_760_3,0.004801,0.004801,1,1
cell2,0.004813,0.004813,1,1
arc130,0.007361,0.004815,0,0
orsirr_1,0.004816,0.004816,1,1
S80PI_n,0.004821,0.004821,1,1
tols90,0.007385,0.004821,0,0
orbitRaising_2,0.005185,0.004824,0,0
str_200,0.004849,0.004824,0,0
rajat14,0.007705,0.004826,0,0
Journals,0.009777,0.004829,0,0
orbitRaising_4,0.004829,0.004829,1,1
power,0.004829,0.004829,1,1
dw8192,0.004834,0.004834,1,1
shock-9,0.004835,0.004835,1,1
fd12,0.004841,0.004841,1,1
