Matrix Name,square_ratio
c-54,0.088099
c-55,0.069094
c-56,0.080778
c-57,0.091061
c-58,0.035644
c-59,0.064900
c-60,0.115237
c-61,0.114755
c-62,0.071620
c-62ghs,0.071620
c-63,0.081317
c-64,0.061633
c-64b,0.061633
c-65,0.106551
c-66,0.065728
c-66b,0.065728
c-67,0.070274
c-67b,0.070274
c-68,0.071336
c-69,0.079334
c-70,0.081244
c-71,0.073199
c-72,0.089503
c-73,0.074143
c-73b,0.074143
c-big,0.148327
ca-AstroPh,0.074885
ca-CondMat,0.137745
ca-GrQc,0.104445
ca-HepPh,0.020936
ca-HepTh,0.138432
ca2010,0.381365
cage,0.516199
cage10,0.347538
cage11,0.342114
cage12,0.340885
cage13,0.342059
cage14,0.343504
cage15,0.343090
cage7,0.352215
cage8,0.352358
cage9,0.339022
caidaRouterLevel,0.094533
can_1054,0.396823
can_1072,0.397706
can_144,0.457851
can_161,0.442421
can_187,0.442706
can_229,0.370588
can_256,0.404236
can_268,0.406327
can_292,0.363201
can_445,0.453710
can_634,0.426539
can_715,0.414628
can_838,0.388690
cant,0.414286
case39,0.129924
case9,0.194643
cavity01,0.286599
cavity02,0.276647
cavity03,0.286599
cavity04,0.276647
cavity05,0.333847
cavity06,0.331658
cavity07,0.333847
cavity08,0.331658
cavity09,0.333847
cavity10,0.353468
cavity11,0.353114
cavity12,0.353468
cavity13,0.353114
cavity14,0.353468
cavity15,0.353114
cavity16,0.363490
cavity17,0.363281
cavity18,0.363490
cavity19,0.363281
cavity20,0.363490
cavity21,0.363281
cavity22,0.363490
cavity23,0.363281
cavity24,0.363490
cavity25,0.363281
cavity26,0.363490
cbuckle,0.478556
cca,0.428150
ccc,0.480002
cdde1,0.455797
cdde2,0.455797
cdde3,0.455797
cdde4,0.455797
cdde5,0.455797
cdde6,0.455797
cegb2802,0.377608
cegb2919,0.384439
cegb3024,0.383091
cegb3306,0.378542
celegans_metabolic,0.203242
celegansneural,0.205058
cell1,0.468700
cell2,0.468700
cfd1,0.444024
cfd2,0.419681
ch5-5-b3,0.480000
ch7-8-b5,0.480000
channel-500x100x100-b050,0.468154
chem_master1,0.476182
chipcool0,0.423362
chipcool1,0.423362
circuit204,0.294617
circuit5M,0.275222
circuit5M_dc,0.406977
circuit_1,0.278466
circuit_2,0.054915
circuit_3,0.224261
circuit_4,0.217817
cit-HepPh,0.084217
cit-HepTh,0.067801
cit-Patents,0.083221
citationCiteseer,0.127444
ck400,0.267675
ck656,0.247607
ckt11752_dc_1,0.246996
ckt11752_tr_0,0.246996
cnae9_10NN,0.428966
cnr-2000,0.021072
co2010,0.362803
coAuthorsCiteseer,0.126857
coAuthorsDBLP,0.139289
coPapersCiteseer,0.076335
coPapersDBLP,0.097147
coater1,0.287688
coater2,0.327600
collins_15NN,0.524051
com-Amazon,0.275441
com-DBLP,0.138470
com-LiveJournal,0.050380
com-Orkut,0.119636
com-Youtube,0.039241
commanche_dual,0.480000
comsol,0.426008
cond-mat-2003,0.127289
cond-mat-2005,0.118757
cond-mat,0.155375
conf5_0-4x4-10,0.483412
conf5_0-4x4-14,0.483412
conf5_0-4x4-18,0.483412
conf5_0-4x4-22,0.483412
conf5_0-4x4-26,0.483412
conf5_4-8x8-05,0.480018
conf5_4-8x8-10,0.480018
conf5_4-8x8-15,0.480018
conf5_4-8x8-20,0.480018
conf6_0-4x4-20,0.483412
conf6_0-4x4-30,0.483412
conf6_0-8x8-20,0.480018
conf6_0-8x8-30,0.480018
conf6_0-8x8-80,0.480018
consph,0.380589
cont-201,0.462831
cont-300,0.465563
cop20k_A,0.269056
copter1,0.365384
copter2,0.412687
coupled,0.184312
crack,0.489722
crack_dual,0.474655
crankseg_1,0.365718
crankseg_2,0.377416
crashbasis,0.354630
crplat2,0.446459
cryg10000,0.473124
cryg2500,0.466415
crystk01,0.411612
crystk02,0.415026
crystk03,0.414799
crystm01,0.411132
crystm02,0.415026
crystm03,0.414799
cs4,0.469588
ct2010,0.363865
ct20stif,0.381189
cti,0.441753
cvxbqp1,0.397465
cvxqp3,0.366855
cyl6,0.448126
cz10228,0.306786
cz1268,0.310019
cz148,0.305561
cz20468,0.307001
cz2548,0.309096
cz308,0.314566
cz40948,0.306449
cz5108,0.307442
cz628,0.312355
d_pretok,0.398866
darcy003,0.409487
data,0.347943
dataset12mfeatfactors_10NN,0.473018
dataset16mfeatkarhunen_10NN,0.476491
dataset18mfeatmorphological_10NN,0.499484
dataset20mfeatpixel_10NN,0.473405
dataset22mfeatzernike_10NN,0.476323
dawson5,0.400765
dblp-2010,0.106738
dc1,0.192292
dc2,0.192292
dc3,0.192292
de2010,0.372643
debr,0.506666
delaunay_n10,0.486811
delaunay_n11,0.483155
delaunay_n12,0.486272
delaunay_n13,0.487448
delaunay_n14,0.487298
