Matrix Name,cd_perf (ms),cusparse_perf (ms)
cond-mat-2003,0.0075,0.0145
cond-mat-2005,0.0087,0.0164
cond-mat,0.0060,0.0132
conf5_0-4x4-10,0.0048,0.0117
conf5_0-4x4-14,0.0048,0.0115
conf5_0-4x4-18,0.0048,0.0116
conf5_0-4x4-22,0.0048,0.0115
conf5_0-4x4-26,0.0047,0.0117
conf5_4-8x8-05,0.0151,0.0244
conf5_4-8x8-10,0.0151,0.0244
conf5_4-8x8-15,0.0151,0.0244
conf5_4-8x8-20,0.0151,0.0245
conf6_0-4x4-20,0.0048,0.0115
conf6_0-4x4-30,0.0048,0.0116
conf6_0-8x8-20,0.0151,0.0244
conf6_0-8x8-30,0.0152,0.0244
conf6_0-8x8-80,0.0151,0.0242
consph,0.0587,0.0630
cont-201,0.0065,0.0161
cont-300,0.0102,0.0218
cop20k_A,0.1126,0.1067
copter1,0.0054,0.0134
copter2,0.0092,0.0186
coupled,0.0057,0.0135
crack,0.0048,0.0125
crack_dual,0.0050,0.0131
crankseg_1,0.0921,0.0967
crankseg_2,0.1202,0.1235
crashbasis,0.0142,0.0253
crplat2,0.0091,0.0174
cryg10000,0.0044,0.0124
cryg2500,0.0042,0.0112
crystk01,0.0058,0.0133
crystk02,0.0093,0.0178
crystk03,0.0130,0.0226
crystm01,0.0047,0.0120
crystm02,0.0060,0.0136
crystm03,0.0075,0.0156
cs4,0.0062,0.0136
ct2010,0.0078,0.0171
ct20stif,0.0264,0.0331
cti,0.0048,0.0131
cvxbqp1,0.0069,0.0155
cvxqp3,0.0054,0.0132
cyl6,0.0073,0.0157
cz10228,0.0048,0.0127
cz1268,0.0046,0.0109
cz148,0.0042,0.0099
cz20468,0.0054,0.0127
cz2548,0.0043,0.0112
