Matrix Name,cd_perf (ms),cusparse_perf (ms)
airfoil1,0.0046,0.0094
airfoil1_dual,0.0061,0.0104
airfoil_2d,0.0064,0.0100
ak2010,0.0073,0.0108
al2010,0.0163,0.0169
amazon-2008,0.0410,0.0414
amazon0302,0.0182,0.0202
amazon0312,0.0326,0.0355
amazon0505,0.0330,0.0357
amazon0601,0.0326,0.0360
analytics,0.0252,0.0220
apache1,0.0091,0.0108
apache2,0.0352,0.0370
appu,0.0140,0.0209
ar2010,0.0134,0.0140
arabic-2005,2.9484,4.2247
arc130,0.0046,0.0080
as-22july06,0.0089,0.0107
as-735,0.0073,0.0107
as-Skitter,0.1653,0.1633
as-caida,0.0092,0.0118
ash292,0.0046,0.0089
asia_osm,0.3074,0.2776
astro-ph,0.0079,0.0109
atmosmodd,0.0602,0.0615
atmosmodj,0.0603,0.0616
atmosmodl,0.0681,0.0700
atmosmodm,0.0681,0.0700
audikw_1,0.3358,0.5154
aug2d,0.0074,0.0105
aug2dc,0.0066,0.0105
aug3d,0.0073,0.0102
aug3dcqp,0.0072,0.0106
auto,0.0767,0.0761
av41092,0.0165,0.0159
az2010,0.0194,0.0209
b2_ss,0.0060,0.0092
b_dyn,0.0060,0.0094
barrier2-1,0.0209,0.0291
barrier2-10,0.0210,0.0295
barrier2-11,0.0210,0.0297
barrier2-12,0.0211,0.0299
barrier2-2,0.0208,0.0290
barrier2-3,0.0208,0.0290
barrier2-4,0.0209,0.0291
barrier2-9,0.0212,0.0299
barth,0.0061,0.0099
barth4,0.0049,0.0092
barth5,0.0052,0.0092
bauru5727,0.0069,0.0106
bayer01,0.0069,0.0102
bayer02,0.0063,0.0094
bayer03,0.0059,0.0096
bayer04,0.0079,0.0104
bayer05,0.0057,0.0097
bayer06,0.0059,0.0094
bayer07,0.0059,0.0100
bayer08,0.0057,0.0092
bayer09,0.0066,0.0094
bayer10,0.0056,0.0091
bbmat,0.0098,0.0179
bcircuit,0.0103,0.0105
bcspwr04,0.0048,0.0083
bcspwr05,0.0056,0.0086
bcspwr06,0.0060,0.0093
bcspwr07,0.0060,0.0091
bcspwr08,0.0060,0.0092
bcspwr09,0.0060,0.0100
bcspwr10,0.0058,0.0096
bcsstk02,0.0047,0.0079
bcsstk04,0.0048,0.0087
bcsstk05,0.0049,0.0091
bcsstk06,0.0051,0.0088
bcsstk07,0.0051,0.0092
bcsstk08,0.0053,0.0089
bcsstk09,0.0052,0.0087
bcsstk10,0.0052,0.0086
bcsstk11,0.0051,0.0085
bcsstk12,0.0052,0.0084
bcsstk13,0.0057,0.0088
bcsstk14,0.0055,0.0086
bcsstk15,0.0056,0.0091
bcsstk16,0.0065,0.0100
bcsstk17,0.0076,0.0101
bcsstk18,0.0058,0.0092
bcsstk19,0.0047,0.0086
bcsstk20,0.0047,0.0090
bcsstk21,0.0046,0.0088
bcsstk23,0.0049,0.0090
bcsstk24,0.0055,0.0091
bcsstk25,0.0060,0.0096
bcsstk26,0.0051,0.0086
bcsstk27,0.0055,0.0089
bcsstk28,0.0058,0.0094
bcsstk29,0.0078,0.0110
bcsstk30,0.0105,0.0193
bcsstk31,0.0087,0.0136
bcsstk32,0.0099,0.0183
bcsstk33,0.0072,0.0111
bcsstk34,0.0049,0.0083
bcsstk35,0.0084,0.0142
bcsstk36,0.0080,0.0133
bcsstk37,0.0080,0.0132
bcsstk38,0.0080,0.0100
bcsstk39,0.0096,0.0185
bcsstm07,0.0049,0.0082
bcsstm08,0.0076,0.0104
bcsstm09,0.0076,0.0101
bcsstm10,0.0051,0.0088
bcsstm11,0.0079,0.0111
bcsstm12,0.0050,0.0085
bcsstm13,0.0080,0.0104
bcsstm21,0.0075,0.0107
bcsstm23,0.0078,0.0112
bcsstm24,0.0075,0.0111
bcsstm25,0.0082,0.0114
bcsstm26,0.0077,0.0105
bcsstm27,0.0054,0.0087
bcsstm34,0.0052,0.0083
bcsstm35,0.0127,0.0149
bcsstm36,0.0079,0.0099
bcsstm37,0.0125,0.0154
bcsstm38,0.0099,0.0124
bcsstm39,0.0081,0.0116
belgium_osm,0.0350,0.0315
benzene,0.0062,0.0099
bfly,0.0057,0.0100
bfwa398,0.0047,0.0083
bfwa782,0.0048,0.0089
bfwb398,0.0046,0.0088
bfwb782,0.0047,0.0083
bibd_81_2,0.0076,0.0110
big,0.0053,0.0093
big_dual,0.0066,0.0102
biplane-9,0.0062,0.0099
bips07_1693,0.0065,0.0104
bips07_1998,0.0066,0.0103
bips07_2476,0.0066,0.0102
bips07_3078,0.0067,0.0102
bips98_1142,0.0061,0.0100
bips98_1450,0.0062,0.0100
bips98_606,0.0061,0.0098
blckhole,0.0048,0.0091
blockqp1,0.0155,0.0154
bloweya,0.0062,0.0096
bloweybl,0.0073,0.0105
bloweybq,0.0797,0.0093
bmw3_2,0.0587,0.0779
bmw7st_1,0.0409,0.0536
bmwcra_1,0.0561,0.0790
bodyy4,0.0053,0.0093
bodyy5,0.0054,0.0096
bodyy6,0.0052,0.0093
bone010,0.3097,0.4674
boneS01,0.0374,0.0493
boneS10,0.2405,0.3515
boyd1,0.0138,0.0265
boyd2,0.0182,0.0174
bp_0,0.0062,0.0093
bp_1000,0.0050,0.0088
bp_1200,0.0052,0.0088
bp_1400,0.0052,0.0089
bp_1600,0.0051,0.0089
bp_200,0.0051,0.0092
