Matrix Name,Rows,NNZs,Parameters (colProp, rowProp),TC_nnz_ratio,du_spmv (ms),cdspmv (ms)
Queen_4147,4147110,329499284,(0.875, 0.7),0.518971,1.8127,0.9031
RM07R,381689,37464962,(0.1875, 0.15),0.518867,0.09,0.2869
RM07R,381689,37464962,(0.25, 0.2),0.503815,0.098,0.2723
RM07R,381689,37464962,(0.3125, 0.25),0.506855,0.1108,0.2576
RM07R,381689,37464962,(0.375, 0.3),0.525571,0.1188,0.2417
RM07R,381689,37464962,(0.4375, 0.35),0.503726,0.1281,0.2264
RM07R,381689,37464962,(0.5, 0.4),0.488572,0.1393,0.2111
RM07R,381689,37464962,(0.5625, 0.45),0.501342,0.1516,0.1949
RM07R,381689,37464962,(0.625, 0.5),0.501895,0.1653,0.1803
RM07R,381689,37464962,(0.6875, 0.55),0.482415,0.1785,0.1644
RM07R,381689,37464962,(0.75, 0.6),0.492260,0.1968,0.1493
RM07R,381689,37464962,(0.8125, 0.65),0.506651,0.2102,0.1328
RM07R,381689,37464962,(0.875, 0.7),0.510856,0.2304,0.1173
af_shell10,1508065,52672325,(0.1875, 0.15),0.598756,0.0515,0.4026
af_shell10,1508065,52672325,(0.25, 0.2),0.598758,0.0767,0.3811
af_shell10,1508065,52672325,(0.3125, 0.25),0.598763,0.0961,0.3592
af_shell10,1508065,52672325,(0.375, 0.3),0.598760,0.1156,0.3376
af_shell10,1508065,52672325,(0.4375, 0.35),0.598763,0.1386,0.3156
af_shell10,1508065,52672325,(0.5, 0.4),0.598760,0.1592,0.2931
af_shell10,1508065,52672325,(0.5625, 0.45),0.598765,0.1809,0.2715
af_shell10,1508065,52672325,(0.625, 0.5),0.598764,0.2023,0.2501
af_shell10,1508065,52672325,(0.6875, 0.55),0.598763,0.2229,0.2278
af_shell10,1508065,52672325,(0.75, 0.6),0.598763,0.2448,0.2062
af_shell10,1508065,52672325,(0.8125, 0.65),0.598761,0.2657,0.1839
af_shell10,1508065,52672325,(0.875, 0.7),0.598764,0.2877,0.1618
arabic-2005,22744080,639999458,(0.1875, 0.15),0.922906,0.4639,5.1459
