Matrix Name,cd_perf (ms),cusparse_perf (ms)
c-45,0.0434,0.0130
c-46,0.0056,0.0128
c-47,0.0076,0.0137
c-48,0.0065,0.0131
c-49,0.0059,0.0132
c-50,0.0070,0.0138
c-51,0.0067,0.0132
c-52,0.0069,0.0132
c-53,0.0075,0.0146
c-54,0.0080,0.0147
c-55,0.0084,0.0153
c-56,0.0070,0.0144
c-57,0.1177,0.0147
c-58,0.0087,0.0175
c-59,0.0094,0.0163
c-60,0.0067,0.0141
c-61,0.0069,0.0143
c-62,0.0093,0.0166
c-62ghs,0.0094,0.0168
c-63,0.0079,0.0158
c-64,0.0103,0.0169
c-64b,0.0103,0.0170
c-65,0.0071,0.0149
c-66,0.0084,0.0156
c-66b,0.0085,0.0161
c-67,0.0081,0.0160
c-67b,0.0081,0.0162
c-68,0.0087,0.0166
c-69,0.0096,0.0171
c-70,0.0098,0.0174
c-71,0.0108,0.0194
c-72,0.0095,0.0181
c-73,0.0131,0.0220
c-73b,0.0132,0.0222
c-big,0.0332,0.0350
ca-AstroPh,0.0125,0.0189
ca-CondMat,0.0077,0.0156
ca-GrQc,0.0056,0.0125
ca-HepPh,0.0095,0.0159
ca-HepTh,0.0056,0.0134
ca2010,0.0537,0.0565
cage,0.0044,0.0105
cage10,0.0056,0.0129
cage11,0.0089,0.0168
cage12,0.0204,0.0290
cage13,0.0835,0.0794
cage14,0.2720,0.2799
cage15,0.9994,1.0311
cage7,0.0046,0.0101
cage8,0.0047,0.0111
cage9,0.0049,0.0116
caidaRouterLevel,0.0191,0.0277
can_1054,0.0047,0.0109
can_1072,0.0048,0.0113
can_144,0.0044,0.0106
can_161,0.0045,0.0108
can_187,0.0042,0.0101
can_229,0.0045,0.0105
can_256,0.0047,0.0109
can_268,0.0044,0.0102
can_292,0.0044,0.0103
can_445,0.0045,0.0112
can_634,0.0046,0.0107
can_715,0.0044,0.0111
can_838,0.0045,0.0111
cant,0.0448,0.0463
case39,0.1087,0.0178
case9,0.0466,0.0126
cavity01,0.0045,0.0105
cavity02,0.0048,0.0109
cavity03,0.0048,0.0106
cavity04,0.0045,0.0104
cavity05,0.0046,0.0108
cavity06,0.0046,0.0111
cavity07,0.0046,0.0111
cavity08,0.0046,0.0111
cavity09,0.0048,0.0114
cavity10,0.0052,0.0117
cavity11,0.0053,0.0119
cavity12,0.0050,0.0116
cavity13,0.0054,0.0118
cavity14,0.0052,0.0117
cavity15,0.0051,0.0118
cavity16,0.0054,0.0122
cavity17,0.0055,0.0125
cavity18,0.0054,0.0119
cavity19,0.0055,0.0119
cavity20,0.0055,0.0124
cavity21,0.0055,0.0122
cavity22,0.0056,0.0125
cavity23,0.0054,0.0120
cavity24,0.0054,0.0119
cavity25,0.0055,0.0122
cavity26,0.0055,0.0124
cbuckle,0.0078,0.0156
cca,0.0056,0.0136
ccc,0.0055,0.0137
cdde1,0.0040,0.0109
cdde2,0.0041,0.0107
cdde3,0.0043,0.0111
cdde4,0.0043,0.0111
cdde5,0.0041,0.0112
cdde6,0.0043,0.0108
cegb2802,0.0059,0.0127
cegb2919,0.0062,0.0129
cegb3024,0.0050,0.0118
cegb3306,0.0052,0.0116
celegans_metabolic,0.0048,0.0107
celegansneural,0.0044,0.0106
cell1,0.0044,0.0120
cell2,0.0045,0.0120
cfd1,0.0161,0.0247
cfd2,0.0389,0.0384
ch5-5-b3,0.0041,0.0109
ch7-8-b5,0.0096,0.0200
channel-500x100x100-b050,0.7903,0.8960
chem_master1,0.0054,0.0139
chipcool0,0.0075,0.0152
chipcool1,0.0074,0.0151
circuit204,0.0044,0.0107
circuit5M,0.6633,0.7363
circuit5M_dc,0.2581,0.2823
circuit_1,0.0048,0.0116
circuit_2,0.0047,0.0118
circuit_3,0.0052,0.0120
circuit_4,0.0071,0.0151
cit-HepPh,0.0114,0.0196
cit-HepTh,0.0111,0.0190
cit-Patents,0.3239,0.3141
citationCiteseer,0.0390,0.0463
ck400,0.0045,0.0105
ck656,0.0046,0.0108
ckt11752_dc_1,0.0078,0.0142
ckt11752_tr_0,0.0079,0.0145
cnae9_10NN,0.0050,0.0117
cnr-2000,0.0475,0.0454
co2010,0.0142,0.0242
coAuthorsCiteseer,0.0174,0.0257
coAuthorsDBLP,0.0241,0.0319
coPapersCiteseer,0.2988,0.2745
coPapersDBLP,0.2942,0.2654
coater1,0.0047,0.0110
coater2,0.0060,0.0130
collins_15NN,0.0046,0.0109
com-Amazon,0.0295,0.0400
com-DBLP,0.0306,0.0378
com-LiveJournal,1.0273,0.9215
com-Orkut,5.9784,3.0092
com-Youtube,0.0847,0.0885
commanche_dual,0.0044,0.0116
comsol,0.0058,0.0121
cond-mat-2003,0.0079,0.0150
cond-mat-2005,0.0092,0.0163
cond-mat,0.0063,0.0133
conf5_0-4x4-10,0.0051,0.0116
conf5_0-4x4-14,0.0054,0.0121
conf5_0-4x4-18,0.0051,0.0119
conf5_0-4x4-22,0.0053,0.0118
conf5_0-4x4-26,0.0053,0.0119
conf5_4-8x8-05,0.0159,0.0243
conf5_4-8x8-10,0.0159,0.0245
conf5_4-8x8-15,0.0159,0.0243
conf5_4-8x8-20,0.0158,0.0241
conf6_0-4x4-20,0.0054,0.0121
conf6_0-4x4-30,0.0053,0.0118
conf6_0-8x8-20,0.0158,0.0241
conf6_0-8x8-30,0.0159,0.0242
conf6_0-8x8-80,0.0159,0.0243
consph,0.0623,0.0637
cont-201,0.0069,0.0160
cont-300,0.0108,0.0207
cop20k_A,0.1148,0.1068
copter1,0.0058,0.0136
copter2,0.0099,0.0183
coupled,0.0060,0.0135
crack,0.0049,0.0126
crack_dual,0.0052,0.0130
