Matrix Name,cd_perf (ms),cusparse_perf (ms)
adder_dcop_38,0.0048,0.0134
adder_dcop_39,0.0048,0.0137
adder_dcop_40,0.0048,0.0137
adder_dcop_41,0.0047,0.0134
adder_dcop_42,0.0048,0.0138
adder_dcop_43,0.0048,0.0137
adder_dcop_44,0.0050,0.0138
adder_dcop_45,0.0047,0.0134
adder_dcop_46,0.0048,0.0135
adder_dcop_47,0.0048,0.0138
adder_dcop_48,0.0047,0.0133
adder_dcop_49,0.0048,0.0138
adder_dcop_50,0.0048,0.0137
adder_dcop_51,0.0048,0.0134
adder_dcop_52,0.0048,0.0134
adder_dcop_53,0.0048,0.0138
adder_dcop_54,0.0047,0.0134
adder_dcop_55,0.0048,0.0134
adder_dcop_56,0.0047,0.0135
adder_dcop_57,0.0049,0.0137
adder_dcop_58,0.0047,0.0134
adder_dcop_59,0.0048,0.0136
adder_dcop_60,0.0048,0.0137
adder_dcop_61,0.0047,0.0135
adder_dcop_62,0.0048,0.0136
adder_dcop_63,0.0048,0.0137
adder_dcop_64,0.0048,0.0134
adder_dcop_65,0.0047,0.0135
adder_dcop_66,0.0048,0.0134
adder_dcop_67,0.0047,0.0134
adder_dcop_68,0.0048,0.0138
adder_dcop_69,0.0048,0.0134
adder_trans_01,0.0049,0.0132
adder_trans_02,0.0050,0.0135
af23560,0.0065,0.0156
af_0_k101,0.1463,0.1164
af_1_k101,0.1463,0.1165
af_2_k101,0.1464,0.1168
af_3_k101,0.1464,0.1167
af_4_k101,0.1463,0.1164
af_5_k101,0.1463,0.1169
af_shell1,0.1467,0.1169
af_shell10,0.4273,0.3207
af_shell2,0.1468,0.1172
af_shell3,0.1468,0.1172
af_shell4,0.1467,0.1172
af_shell5,0.1467,0.1172
af_shell6,0.1466,0.1169
af_shell7,0.1468,0.1170
af_shell8,0.1468,0.1173
af_shell9,0.1468,0.1171
aft01,0.0051,0.0140
aft02,0.0051,0.0136
airfoil1,0.0043,0.0139
airfoil1_dual,0.0060,0.0152
airfoil_2d,0.0061,0.0151
ak2010,0.0071,0.0163
al2010,0.0148,0.0225
amazon-2008,0.0425,0.0487
amazon0302,0.0160,0.0261
amazon0312,0.0284,0.0419
amazon0505,0.0291,0.0423
amazon0601,0.0293,0.0430
analytics,0.0228,0.0284
apache1,0.0065,0.0164
apache2,0.0357,0.0442
appu,0.0170,0.0261
ar2010,0.0110,0.0197
arabic-2005,5.4338,4.2751
arc130,0.0044,0.0118
as-22july06,0.0087,0.0157
as-735,0.0073,0.0152
as-Skitter,0.2071,0.1706
as-caida,0.0090,0.0165
ash292,0.0045,0.0130
asia_osm,0.2871,0.2956
astro-ph,0.0079,0.0162
atmosmodd,0.0607,0.0691
atmosmodj,0.0606,0.0689
atmosmodl,0.0695,0.0779
atmosmodm,0.0694,0.0774
audikw_1,0.6878,0.5227
aug2d,0.0074,0.0156
aug2dc,0.0066,0.0157
aug3d,0.0075,0.0158
aug3dcqp,0.0070,0.0155
auto,0.0745,0.0821
av41092,0.0150,0.0213
az2010,0.0174,0.0269
b2_ss,0.0059,0.0135
b_dyn,0.0059,0.0135
barrier2-1,0.0282,0.0350
barrier2-10,0.0289,0.0359
barrier2-11,0.0289,0.0356
barrier2-12,0.0289,0.0358
barrier2-2,0.0283,0.0352
barrier2-3,0.0283,0.0353
barrier2-4,0.0282,0.0350
barrier2-9,0.0288,0.0356
barth,0.0057,0.0143
barth4,0.0048,0.0140
barth5,0.0050,0.0141
bauru5727,0.0068,0.0157
bayer01,0.0068,0.0159
bayer02,0.0061,0.0142
bayer03,0.0057,0.0142
bayer04,0.0079,0.0155
bayer05,0.0057,0.0146
bayer06,0.0058,0.0137
bayer07,0.0055,0.0142
bayer08,0.0058,0.0139
bayer09,0.0067,0.0138
bayer10,0.0054,0.0140
bbmat,0.0149,0.0234
bcircuit,0.0063,0.0163
bcspwr04,0.0045,0.0124
bcspwr05,0.0055,0.0122
bcspwr06,0.0058,0.0134
bcspwr07,0.0060,0.0136
bcspwr08,0.0059,0.0132
bcspwr09,0.0057,0.0138
bcspwr10,0.0056,0.0143
bcsstk02,0.0044,0.0115
bcsstk04,0.0045,0.0121
bcsstk05,0.0044,0.0121
bcsstk06,0.0048,0.0125
bcsstk07,0.0048,0.0129
bcsstk08,0.0050,0.0132
bcsstk09,0.0046,0.0125
bcsstk10,0.0047,0.0127
bcsstk11,0.0052,0.0128
bcsstk12,0.0051,0.0129
bcsstk13,0.0054,0.0131
bcsstk14,0.0052,0.0127
bcsstk15,0.0054,0.0136
bcsstk16,0.0060,0.0144
bcsstk17,0.0064,0.0151
bcsstk18,0.0057,0.0143
bcsstk19,0.0045,0.0123
bcsstk20,0.0044,0.0125
bcsstk21,0.0044,0.0131
bcsstk23,0.0047,0.0135
bcsstk24,0.0053,0.0137
bcsstk25,0.0057,0.0144
bcsstk26,0.0048,0.0130
bcsstk27,0.0050,0.0129
bcsstk28,0.0055,0.0140
bcsstk29,0.0074,0.0162
bcsstk30,0.0175,0.0248
bcsstk31,0.0109,0.0186
bcsstk32,0.0146,0.0237
bcsstk33,0.0073,0.0162
bcsstk34,0.0048,0.0124
bcsstk35,0.0118,0.0193
bcsstk36,0.0103,0.0184
bcsstk37,0.0106,0.0185
bcsstk38,0.0063,0.0151
bcsstk39,0.0155,0.0240
bcsstm07,0.0047,0.0122
bcsstm08,0.0077,0.0147
