Matrix Name,Rows,NNZs,Parameters (colProp, rowProp),TC_nnz_ratio,se_spmv (ms),cdspmv (ms)
RM07R,381689,37464962,(0.5, 0.4),0.488572,0.0864,0.1083
RM07R,381689,37464962,(0.5625, 0.45),0.501342,0.0964,0.1025
RM07R,381689,37464962,(0.625, 0.5),0.501895,0.1079,0.0956
RM07R,381689,37464962,(0.6875, 0.55),0.482415,0.1201,0.0894
RM07R,381689,37464962,(0.75, 0.6),0.492260,0.1261,0.0826
RM07R,381689,37464962,(0.8125, 0.65),0.506651,0.1333,0.0765
RM07R,381689,37464962,(0.875, 0.7),0.510856,0.14,0.073
af_shell10,1508065,52672325,(0.125, 0.1),0.598765,0.0404,0.2363
af_shell10,1508065,52672325,(0.1875, 0.15),0.598756,0.0549,0.2302
af_shell10,1508065,52672325,(0.25, 0.2),0.598758,0.0707,0.2246
af_shell10,1508065,52672325,(0.3125, 0.25),0.598763,0.0875,0.2177
af_shell10,1508065,52672325,(0.375, 0.3),0.598760,0.1039,0.2124
af_shell10,1508065,52672325,(0.4375, 0.35),0.598763,0.116,0.207
af_shell10,1508065,52672325,(0.5, 0.4),0.598760,0.1337,0.2002
af_shell10,1508065,52672325,(0.5625, 0.45),0.598765,0.1468,0.1945
af_shell10,1508065,52672325,(0.625, 0.5),0.598764,0.1632,0.1889
af_shell10,1508065,52672325,(0.6875, 0.55),0.598763,0.1774,0.1823
af_shell10,1508065,52672325,(0.75, 0.6),0.598763,0.1923,0.1751
af_shell10,1508065,52672325,(0.8125, 0.65),0.598761,0.209,0.1683
af_shell10,1508065,52672325,(0.875, 0.7),0.598764,0.2218,0.1617
arabic-2005,22744080,639999458,(0.125, 0.1),0.912021,0.3744,2.6808
arabic-2005,22744080,639999458,(0.1875, 0.15),0.922906,0.533,2.5529
arabic-2005,22744080,639999458,(0.25, 0.2),0.927423,0.6959,2.4255
arabic-2005,22744080,639999458,(0.3125, 0.25),0.926912,0.8616,2.2938
arabic-2005,22744080,639999458,(0.375, 0.3),0.919094,1.016,2.1641
arabic-2005,22744080,639999458,(0.4375, 0.35),0.908012,1.1687,2.0278
arabic-2005,22744080,639999458,(0.5, 0.4),0.897962,1.3373,1.8735
arabic-2005,22744080,639999458,(0.5625, 0.45),0.878026,1.5048,1.7428
arabic-2005,22744080,639999458,(0.625, 0.5),0.855063,1.6746,1.608
arabic-2005,22744080,639999458,(0.6875, 0.55),0.836296,1.8516,1.478
arabic-2005,22744080,639999458,(0.75, 0.6),0.804824,2.0295,1.3447
arabic-2005,22744080,639999458,(0.8125, 0.65),0.761988,2.1982,1.2222
arabic-2005,22744080,639999458,(0.875, 0.7),0.713161,2.3547,1.0998
bone010,986703,71666325,(0.125, 0.1),0.468751,0.0439,0.2823
bone010,986703,71666325,(0.1875, 0.15),0.467606,0.061,0.267
bone010,986703,71666325,(0.25, 0.2),0.472123,0.0733,0.2521
bone010,986703,71666325,(0.3125, 0.25),0.473123,0.0899,0.2375
bone010,986703,71666325,(0.375, 0.3),0.475229,0.1069,0.2229
bone010,986703,71666325,(0.4375, 0.35),0.472816,0.1248,0.2079
bone010,986703,71666325,(0.5, 0.4),0.466053,0.1395,0.1935
