Matrix Name,cd_perf (ms),cusparse_perf (ms)
bips07_3078,0.0070,0.0157
bips98_1142,0.0062,0.0148
bips98_1450,0.0064,0.0149
bips98_606,0.0063,0.0144
blckhole,0.0048,0.0131
blockqp1,0.0154,0.0204
bloweya,0.0062,0.0147
bloweybl,0.0075,0.0157
bloweybq,0.0793,0.0146
bmw3_2,0.0586,0.0835
bmw7st_1,0.0408,0.0594
bmwcra_1,0.0559,0.0845
bodyy4,0.0054,0.0144
bodyy5,0.0053,0.0144
bodyy6,0.0053,0.0143
boneS01,0.0374,0.0542
boneS10,0.2402,0.3583
boyd1,0.0139,0.0334
boyd2,0.0182,0.0246
bp_0,0.0062,0.0132
bp_1000,0.0053,0.0127
bp_1200,0.0051,0.0127
bp_1400,0.0051,0.0125
bp_1600,0.0051,0.0126
bp_200,0.0052,0.0133
bp_400,0.0059,0.0129
bp_600,0.0061,0.0131
bp_800,0.0053,0.0129
brack2,0.0093,0.0174
brainpc2,0.0061,0.0152
bratu3d,0.0076,0.0151
breasttissue_10NN,0.0047,0.0115
bundle1,0.0087,0.0168
bundle_adj,3.7676,0.1485
bwm2000,0.0056,0.0129
c-18,0.0062,0.0143
c-19,0.0064,0.0143
c-20,0.0070,0.0145
c-21,0.0068,0.0147
c-22,0.0058,0.0145
c-23,0.0064,0.0144
c-24,0.0065,0.0151
c-25,0.0065,0.0147
c-26,0.0064,0.0146
c-27,0.0064,0.0149
c-28,0.0057,0.0151
c-29,0.0066,0.0148
c-30,0.0371,0.0149
c-31,0.0068,0.0144
c-32,0.0435,0.0148
c-33,0.0070,0.0152
c-34,0.0070,0.0148
c-35,0.0068,0.0149
c-36,0.0070,0.0145
c-37,0.0066,0.0149
c-38,0.0069,0.0147
c-39,0.0075,0.0146
c-40,0.0071,0.0151
c-41,0.0071,0.0156
c-42,0.0070,0.0150
c-43,0.0067,0.0151
c-44,0.0064,0.0146
c-45,0.0828,0.0150
c-46,0.0075,0.0155
c-47,0.0083,0.0152
c-48,0.0070,0.0158
c-49,0.0077,0.0154
c-50,0.0072,0.0159
c-51,0.0070,0.0155
c-52,0.0070,0.0155
c-53,0.0147,0.0165
c-54,0.0140,0.0166
c-55,0.0149,0.0170
c-56,0.0142,0.0165
c-57,0.2405,0.0165
c-58,0.0161,0.0173
c-59,0.0156,0.0169
c-60,0.0076,0.0162
c-61,0.0145,0.0168
c-62,0.0159,0.0178
c-62ghs,0.0158,0.0173
c-63,0.0138,0.0168
c-64,0.0163,0.0202
c-64b,0.0163,0.0203
c-65,0.0149,0.0168
c-66,0.0158,0.0168
c-66b,0.0158,0.0167
c-67,0.0160,0.0167
c-67b,0.0160,0.0167
c-68,0.0147,0.0175
c-69,0.0151,0.0178
c-70,0.0160,0.0179
c-71,0.0157,0.0192
c-72,0.0159,0.0179
c-73,0.0181,0.0209
c-73b,0.0180,0.0206
c-big,0.0213,0.0272
ca-AstroPh,0.0111,0.0187
ca-CondMat,0.0088,0.0165
ca-GrQc,0.0059,0.0146
ca-HepPh,0.0087,0.0164
ca-HepTh,0.0065,0.0150
ca2010,0.0380,0.0465
cage,0.0045,0.0122
cage10,0.0058,0.0145
cage11,0.0096,0.0162
cage12,0.0131,0.0246
cage13,0.0460,0.0598
cage14,0.1366,0.1780
cage15,0.4865,0.6548
cage7,0.0048,0.0124
cage8,0.0049,0.0131
